"contestid","title","sponsor","details","start_time","end_time","amount","repo","findingsRepo","hide"
"1","Slingshot Finance contest","Slingshot Finance","Slingshot is a decentralized trading platform.","2021-02-17T00:00:00.000Z","2021-02-22T23:59:00.000Z",,"https://github.com/code-423n4/2021-02-slingshot","https://github.com/code-423n4/2021-02-slingshot-findings","True"
"2","ElasticDAO contest","ElasticDAO","ElasticDAO is an experiment in fair governance.","2021-02-25T00:00:00.000Z","2021-03-03T23:59:00.000Z",,"https://github.com/code-423n4/2021-03-elasticdao","https://github.com/code-423n4/2021-03-elasticdao-findings","True"
"3","Marginswap contest","Marginswap","Bringing margin trading to on-chain assets","2021-04-02T00:00:00.000Z","2021-04-07T23:59:00.000Z","$50,000 USDC","https://github.com/code-423n4/2021-04-marginswap","https://github.com/code-423n4/2021-04-marginswap-findings","True"
"4","Maple Finance contest","Maple Finance","Maple Finance delivers capital-efficient borrowing for top tier institutions","2021-04-08T00:00:00.000Z","2021-04-21T23:59:00.000Z","$100,000 USDC","https://github.com/code-423n4/2021-04-maple","https://github.com/code-423n4/2021-04-maple-findings","True"
"5","Vader Protocol contest","Vader Protocol","Capital efficient liquidity protocol","2021-04-22T00:00:00.000Z","2021-04-28T23:59:00.000Z","27 ETH + 1000 VETH","https://github.com/code-423n4/2021-04-vader","https://github.com/code-423n4/2021-04-vader-findings","True"
"6","LarvaLabs Meebits Contest","LarvaLabs Meebits","20,000 unique 3D characters with a no fee trading marketplace, from the guys who made Cryptopunks","2021-04-29T00:00:00.000Z","2021-05-01T06:59:00.000Z","$50,000 USDC","https://github.com/code-423n4/2021-04-redacted","https://github.com/code-423n4/2021-04-meebits-findings","True"
"7","Based Loans contest","Based Loans","Compound's degenerate brother","2021-04-29T00:00:00.000Z","2021-05-04T23:59:00.000Z","$30,000 USDC","https://github.com/code-423n4/basedloans","https://github.com/code-423n4/2021-04-basedloans-findings","True"
"8","NFTX contest","NFTX","A community-owned protocol for NFT index funds","2021-05-06T00:00:00.000Z","2021-05-11T23:59:00.000Z","$66,000 USDC","https://github.com/code-423n4/2021-05-nftx","https://github.com/code-423n4/2021-05-nftx-findings","True"
"9","88mph contest","88mph","Lend your crypto assets at a fixed-interest rate","2021-05-13T00:00:00.000Z","2021-05-19T23:59:00.000Z","$45,000 USDC","https://github.com/code-423n4/2021-05-88mph","https://github.com/code-423n4/2021-05-88mph-findings","True"
"10","Visor contest","Visor","The DeFi protocol for Active Liquidity Management","2021-05-13T00:00:00.000Z","2021-05-19T23:59:00.000Z","$60,000 USDC","https://github.com/code-423n4/2021-05-visorfinance","https://github.com/code-423n4/2021-05-visorfinance-findings","True"
"11","FairSide contest","FairSide","FairSide Network","2021-05-20T00:00:00.000Z","2021-05-26T23:59:00.000Z","$55,000 USDC","https://github.com/code-423n4/2021-05-fairside","https://github.com/code-423n4/2021-05-fairside-findings","True"
"12","Yield contest","Yield","Fixed-rate borrowing and lending on Ethereum","2021-05-27T00:00:00.000Z","2021-06-02T23:59:00.000Z","$100,000 USDC","https://github.com/code-423n4/2021-05-yield","https://github.com/code-423n4/2021-05-yield-findings","True"
"13","Reality Cards contest","Reality Cards","The world's first 'outcome ownership' prediction market.","2021-06-10T00:00:00.000Z","2021-06-16T23:59:00.000Z","$45,000 USDC (plus tokens)","https://github.com/code-423n4/2021-06-realitycards","https://github.com/code-423n4/2021-06-realitycards-findings","True"
"14","PoolTogether contest","PoolTogether","A protocol for no loss prize savings on Ethereum","2021-06-17T00:00:00.000Z","2021-06-23T23:59:00.000Z","$60,000 USDC","https://github.com/code-423n4/2021-06-pooltogether","https://github.com/code-423n4/2021-06-pooltogether-findings", "True"
"15","Gro Protocol - PREVIEW","Gro Protocol","Preview Mode: Learn and discuss before the contest starts!","2021-06-24T00:00:00.000Z","2021-06-30T23:59:00.000Z","$100,000 USDC","https://github.com/code-423n4/2021-06-gro","", "True"
"16","Tracer contest","Tracer","Build and trade with Tracer’s Perpetual Swaps and gain leveraged exposure to any market in the world.","2021-06-24T00:00:00.000Z","2021-06-30T23:59:00.000Z","$80,000 USDC","https://github.com/code-423n4/2021-06-tracer","https://github.com/code-423n4/2021-06-tracer-findings", "True"
"17","Gro Protocol contest","Gro Protocol","The first protocol to balance your exposure, tranche risk and boost yields all at once.","2021-07-01T00:00:00.000Z","2021-07-07T23:59:00.000Z","$100,000 USDC","https://github.com/code-423n4/2021-06-gro","https://github.com/code-423n4/2021-06-gro-findings", "True"
"18","Wild Credit contest","Wild Credit","Decentralized lending protocol with isolated lending pairs.","2021-07-08T00:00:00.000Z","2021-07-14T23:59:00.000Z","$50,000 USDC","https://github.com/code-423n4/2021-07-wildcredit","https://github.com/code-423n4/2021-07-wildcredit-findings", "True"
"19","Connext contest","Connext","The interoperability protocol of L2 Ethereum.","2021-07-09T00:00:00.000Z","2021-07-11T23:59:00.000Z","$25,000 USDC","https://github.com/code-423n4/2021-07-connext","https://github.com/code-423n4/2021-07-connext-findings","True"
"20","Spartan Protocol contest","Spartan Protocol","Community-governed token to incentivize deep liquidity pools for leveraged synthetic token generation.","2021-07-15T00:00:00.000Z","2021-07-21T23:59:00.000Z","$80,000 USDC","https://github.com/code-423n4/2021-07-spartan","https://github.com/code-423n4/2021-07-spartan-findings",
"21","Sherlock contest","Sherlock","Decentralized exploit protection.","2021-07-22T00:00:00.000Z","2021-07-28T23:59:00.000Z","$80,000 USDC","https://github.com/code-423n4/2021-07-sherlock","https://github.com/code-423n4/2021-07-sherlock-findings",
