contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
1,0xRajeev,H-01,3,,10,1,10,5702,USDC,5702
1,0xRajeev,L-02,1,,0.81,3,0.27,153,USDC,153
1,0xRajeev,M-01,2,,2.43,3,0.81,461,USDC,461
1,0xRajeev,M-02,2,,2.43,3,0.81,461,USDC,461
1,0xRajeev,M-05,2,,3,1,3,1710,USDC,1710
1,0xRajeev,N-01,0,,0,0,0,0,USDC,0
1,pauliax,G-06,g,,1,1,1,425,USDC,425
1,pauliax,L-04,1,,0.9,2,0.45,256,USDC,256
1,pauliax,L-06,1,,0.9,2,0.45,256,USDC,256
1,pauliax,L-07,1,,1,1,1,570,USDC,570
1,pauliax,L-08,1,,1,1,1,570,USDC,570
1,pauliax,L-09,1,,1,1,1,570,USDC,570
1,pauliax,L-10,1,,1,1,1,570,USDC,570
1,pauliax,M-04,2,,2.7,2,1.35,769,USDC,769
1,pauliax,N-01,0,,0,0,0,0,USDC,0
1,onewayfunction,G-01,g,,0.9,2,0.45,191,USDC,191
1,onewayfunction,G-02,g,,0.9,2,0.45,191,USDC,191
1,onewayfunction,G-03,g,,0.9,2,0.45,191,USDC,191
1,onewayfunction,G-04,g,,1,1,1,425,USDC,425
1,onewayfunction,L-12,1,,1,1,1,570,USDC,570
1,onewayfunction,N-01,0,,0,0,0,0,USDC,0
1,nedodn,G-03,g,,0.9,2,0.45,191,USDC,191
1,nedodn,M-03,2,,3,1,3,1710,USDC,1710
1,ncitron,L-04,1,,0.9,2,0.45,256,USDC,256
1,ncitron,L-05,1,,1,1,1,570,USDC,570
1,ncitron,M-02,2,,2.43,3,0.81,461,USDC,461
1,janbro,G-02,g,,0.9,2,0.45,191,USDC,191
1,janbro,M-01,2,,2.43,3,0.81,461,USDC,461
1,janbro,M-02,2,,2.43,3,0.81,461,USDC,461
1,gpersoon,L-02,1,,0.81,3,0.27,153,USDC,153
1,gpersoon,L-03,1,,0.9,2,0.45,256,USDC,256
1,gpersoon,L-06,1,,0.9,2,0.45,256,USDC,256
1,gpersoon,L-11,1,,1,1,1,570,USDC,570
1,gpersoon,M-04,2,,2.7,2,1.35,769,USDC,769
1,gpersoon,N-01,0,,0,0,0,0,USDC,0
1,gpersoon,N-03,0,,0,0,0,0,USDC,0
1,cmichel,G-01,g,,0.9,2,0.45,191,USDC,191
1,cmichel,L-01,1,,1,1,1,570,USDC,570
1,cmichel,L-02,1,,0.81,3,0.27,153,USDC,153
1,cmichel,L-03,1,,0.9,2,0.45,256,USDC,256
1,cmichel,M-01,2,,2.43,3,0.81,461,USDC,461
1,cmichel,N-01,0,,0,0,0,0,USDC,0
2,cmichel,H-01,3,,10,1,10,1,ETH,3371
2,cmichel,H-02,3,,10,1,10,1,ETH,3371
2,cmichel,H-03,3,,10,1,10,1,ETH,3371
2,cmichel,H-04,3,,10,1,10,1,ETH,3371
2,cmichel,H-05,3,,6.561,5,1.3122,0,ETH,442
2,cmichel,L-01,1,,1,1,1,0,ETH,337
2,cmichel,L-02,1,,0.9,2,0.45,0,ETH,151
2,cmichel,L-03,1,,1,1,1,0,ETH,337
2,cmichel,L-04,1,,1,1,1,0,ETH,337
2,cmichel,L-09,1,,1,1,1,0,ETH,337
2,cmichel,M-01,2,,2.7,2,1.35,0,ETH,455
2,cmichel,M-05,2,,3,1,3,0,ETH,1011
2,gpersoon,H-05,3,,6.561,5,1.3122,0,ETH,442
2,gpersoon,L-05,1,,1,1,1,0,ETH,337
2,gpersoon,L-06,1,,1,1,1,0,ETH,337
2,gpersoon,L-08,1,,0.81,3,0.27,0,ETH,91
2,gpersoon,L-12,1,,1,1,1,0,ETH,337
2,gpersoon,G-06,g,,1,1,1,0,ETH,529
2,janbro,H-05,3,,6.561,5,1.3122,0,ETH,442
2,janbro,L-07,1,,1,1,1,0,ETH,337
2,janbro,L-10,1,,1,1,1,0,ETH,337
2,ncitron,H-05,3,,6.561,5,1.3122,0,ETH,442
2,pauliax,H-08,3,,10,1,10,1,ETH,3371
2,pauliax,H-05,3,,6.561,5,1.3122,0,ETH,442
2,pauliax,H-07,3,,8.1,3,2.7,0,ETH,910
2,pauliax,L-02,1,,0.9,2,0.45,0,ETH,151
2,pauliax,L-08,1,,0.81,3,0.27,0,ETH,91
2,pauliax,M-02,2,,2.7,2,1.35,0,ETH,455
2,pauliax,N-01,0,,0,0,0,0,ETH,0
2,pauliax,N-02,0,,0,0,0,0,ETH,0
2,pauliax,G-01,g,,0.9,2,0.45,0,ETH,238
2,pauliax,G-02,g,,1,1,1,0,ETH,529
2,pauliax,G-03,g,,1,1,1,0,ETH,529
2,pauliax,G-04,g,,1,1,1,0,ETH,529
2,pauliax,G-05,g,,0.9,2,0.45,0,ETH,238
2,0xRajeev,H-06,3,,10,1,10,1,ETH,3371
2,maurelian,H-07,3,,8.1,3,2.7,0,ETH,910
2,maurelian,L-08,1,,0.81,3,0.27,0,ETH,91
2,0xRajeev,L-11,1,,1,1,1,0,ETH,337
2,0xRajeev,M-03,2,,3,1,3,0,ETH,1011
2,0xRajeev,M-04,2,,3,1,3,0,ETH,1011
